Type,Portfolio,Symbol,Quantity,Price,Date
buy,RM,TSLA,100,451.02,19/12/2024
buy,RM,TSLA,50,385.63,02/04/2025
buy,RM,TSLA,100,239.5,08/04/2025
buy,RM,TSLA,100,343.36,14/05/2025
buy,PRO,TSM,22,234.21,25/08/2025
buy,SA,TWLO,28,61.92,27/08/2024
buy,SA,TWLO,9,112.63,16/12/2024
buy,SA,TWLO,1,112.98,16/12/2024
buy,SA,TWLO,25,126.03,18/02/2025
buy,SA,TWLO,37,132.61,21/07/2025
buy,SA,TWLO,200,100.68,08/08/2025
buy,SA,UNFI,400,22.57,16/06/2025
buy,SA,WLDN,100,66.63,02/07/2025
buy,SA,WLDN,70,74,10/07/2025
buy,SA,WLDN,30,78.91,21/07/2025
buy,RM,ZETA,54,25.21,27/08/2024
buy,RM,ZETA,100,37.15,11/11/2024
buy,RM,ZETA,46,20.1,19/11/2024
buy,RM,ZETA,200,13.65,18/03/2025
buy,RM,ZETA,100,16.03,23/07/2025
buy,RM,ZIM,20,15.14,22/05/2023
buy,RM,ZIM,5,20.62,20/06/2024
buy,RM,ZIM,75,23,02/07/2024
buy,RM,ZIM,3,21.87,21/08/2024
buy,RM,ZIM,2,22.05,21/08/2024
dividend,RM,ZIM,5.9651,0,09/06/2024
buy,RM,ZIM,300,19.25,04/12/2024
dividend,RM,ZIM,11.4521,0,10/12/2024
dividend,RM,ZIM,3.4141,0,10/12/2024
dividend,RM,ZIM,90.3503,0,04/04/2025
dividend,RM,ZIM,22.0536,0,10/06/2025
dividend,RM,NVDA,0.0056,0,18/12/2024
dividend,RM,NVDA,0.0052,0,30/12/2024
buy,RM,NVDA,100,111.42,02/04/2025
dividend,RM,NVDA,0.0066,0,03/04/2025
buy,RM,NVDA,100,99.4,08/04/2025
dividend,RM,NVDA,0.0132,0,07/07/2025
buy,RM,CCL,500,32.17,27/08/2025
buy,RM,CCL,150,32.17,27/08/2025
buy,SA,DXPE,50,125.98,28/08/2025
sell,RM,AMZN,209,228.94,29/08/2025
buy,SA,KGC,400,21.4,02/09/2025
buy,PRO,NEM,65,76.16,02/09/2025
buy,PRO,TPC,100,60.28,25/08/2025
buy,PRO,CTM,4500,1.11,02/09/2025
sell,SA,MFC,159.9577,30.62,08/09/2025
sell,SA,ITRN,51.0348,33.72,08/09/2025
buy,PRO,W,60,88.83,08/09/2025
buy,RM,DLO,400,13.78,12/09/2025
buy,PRO,GECC,500,11.4,15/09/2025
buy,PRO,VSAT,170,31.83,15/09/2025
buy,PRO,BNPQY,125,47.25,15/09/2025
sell,PRO,LITE,50,165.82,15/09/2025
sell,RM,META,100,765,15/09/2025
buy,SA,CDE,500,16.67,15/09/2025
